st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10314,5/28/2014 3:30 AM,1,Alabama,JEFFERSON (73),3,1,2,1
10315,5/29/2014 6:50 PM,1,Alabama,JEFFERSON (73),4,2,5,0
10316,5/31/2014 11:05 PM,1,Alabama,MONROE (99),3,3,8,0
10317,6/3/2014 12:00 PM,1,Alabama,MARENGO (91),1,1,1,0
10318,6/2/2014 8:30 PM,1,Alabama,AUTAUGA (1),1,1,1,0
10319,6/13/2014 8:50 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10320,6/12/2014 12:10 AM,1,Alabama,RANDOLPH (111),1,1,1,0
10321,6/13/2014 3:35 AM,1,Alabama,MADISON (89),1,1,1,0
10322,6/14/2014 3:55 PM,1,Alabama,COOSA (37),2,1,3,0
10323,6/14/2014 11:50 PM,1,Alabama,RUSSELL (113),1,1,1,1
10324,6/13/2014 10:10 PM,1,Alabama,CULLMAN (43),1,1,1,0
10325,6/13/2014 1:46 PM,1,Alabama,LEE (81),3,1,3,0
10326,6/7/2014 11:46 PM,1,Alabama,JEFFERSON (73),3,1,4,0
10327,6/2/2014 4:53 PM,1,Alabama,MACON (87),1,1,1,0
10328,6/15/2014 9:15 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10329,6/17/2014 2:10 PM,1,Alabama,LAWRENCE (79),2,1,3,0
10330,6/19/2014 5:40 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10331,6/7/2014 12:13 AM,1,Alabama,BALDWIN (3),1,1,1,0
10332,6/22/2014 8:17 AM,1,Alabama,LIMESTONE (83),1,1,1,0
10333,5/31/2014 5:34 PM,1,Alabama,LIMESTONE (83),2,1,2,0
10334,6/5/2014 9:45 PM,1,Alabama,MARSHALL (95),1,1,1,0
10335,6/7/2014 2:20 AM,1,Alabama,MOBILE (97),2,1,3,0
10336,6/7/2014 8:45 PM,1,Alabama,BLOUNT (9),1,1,1,0
10337,6/8/2014 7:21 PM,1,Alabama,BALDWIN (3),1,1,1,0
10338,6/18/2014 5:00 PM,1,Alabama,PIKE (109),1,1,1,0
10339,6/20/2014 7:45 PM,1,Alabama,MARION (93),1,1,1,0
