CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60142,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,Reported as Unknown,45,Dry,None
60143,Ford,Mustang/Mustang II,1998,California,1,"Yes, Too Fast for Conditions",60,Wet,None
60143,Nissan/Datsun,Sentra,2016,California,0,No,60,Wet,None
60144,Dodge,Ram Pickup,2000,California,1,No,45,Dry,None
60144,Gillig,Other (bus),2017,California,0,No,45,Dry,None
60145,Volvo,60 Series,2005,California,3,"Yes, Too Fast for Conditions",55,Wet,None
60145,Subaru,Impreza,2017,California,0,No,55,Wet,None
60146,Honda,"Civic/CRX, del Sol",2006,California,1,No,55,Dry,None
60147,Toyota,Corolla,1998,California,1,No,65,Dry,None
60147,KIA,Niro,2018,California,0,No,65,Dry,None
60148,Toyota,T-100,1996,California,0,No,65,Dry,None
60149,BMW,3-series,2000,California,1,"Yes, Too Fast for Conditions",45,Dry,None
60150,Volkswagen,Jetta/Jetta SportsWagen,2000,Oregon,1,No,65,Wet,None
60150,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2016,California,0,No,65,Wet,None
60151,Infiniti,FX35/FX37/FX45/FX50,2005,California,1,"Yes, Too Fast for Conditions",65,Dry,None
60151,Ford,Ranger,1997,California,0,No,65,Dry,None
60152,Ford,Freestyle,2005,Alaska,1,"Yes, Too Fast for Conditions",65,Not Reported,None
60152,Ford,F-Series pickup,2012,Oregon,0,No,65,Not Reported,None
60152,Honda,S2000,2002,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,65,Not Reported,No Driver Present/Unknown if Driver Present
60153,Chevrolet,Colorado,2010,California,1,No,70,Wet,None
60154,BMW,3-series,2007,California,0,No,45,Wet,None
60155,Nissan/Datsun,Altima,1998,No Driver Present/Unknown if Driver Present,1,No Driver Present/Unknown if Driver Present,65,Wet,No Driver Present/Unknown if Driver Present
60155,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2017,California,0,No,65,Wet,None
60156,Toyota,Celica,2000,California,1,No,65,Wet,None
60157,Harley-Davidson,750cc or greater,2011,California,1,No,55,Dry,None
60158,Peterbilt,Medium/Heavy ï¿½ Unknown engine location,2015,California,1,No,55,Wet,None
60159,Chevrolet,Fullsize Blazer/Tahoe,1998,California,1,"Yes, Too Fast for Conditions",65,Wet,None
60159,Honda,Pilot,2016,California,0,No,65,Wet,None
60160,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2000,California,1,No,55,Dry,None
60161,Dodge,Challenger (2008 on; for 1970-74 see model 005),2013,California,2,"Yes, Too Fast for Conditions",40,Dry,None
60161,Dodge,Ram Pickup,2011,California,0,No,40,Dry,None
60162,Triumph,450-749cc,2013,California,1,"Yes, Too Fast for Conditions",65,Dry,None
60162,Freightliner,Medium/Heavy - CBE,2012,California,0,No,65,Dry,None
60163,Chevrolet,HHR,2008,California,1,No,55,Wet,None
60163,Ford,Fusion,2017,California,0,No,55,Wet,None
60164,Chevrolet,Spark,2015,California,1,No,70,Dry,None
60165,Infiniti,M35/M37/M45/M56,2013,California,0,No,70,Dry,None
60165,Dodge,"Journey (For 2009-2018 only.  For model years 2019 on, see 07-404.)",2018,California,0,No,70,Dry,None
60165,Dodge,Ram Pickup,2012,California,0,No,70,Dry,None
60165,Freightliner,Medium/Heavy - CBE,2016,California,0,No,70,Dry,None
60166,Ford,Escort/EXP/ZX2,1995,California,1,No,55,Dry,None
60166,Ford,F-Series pickup,2001,California,0,No,55,Dry,None
60167,Toyota,Matrix,2007,Washington,1,No,70,Dry,None
60168,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2006,California,2,"Yes, Too Fast for Conditions",65,Dry,None
60169,Chevrolet,Fullsize Blazer/Tahoe,2002,Idaho,1,"Yes, Too Fast for Conditions",65,Snow ,None
60170,GMC,Fullsize Jimmy/Yukon,2005,California,1,"Yes, Specifics Unknown",55,Dry,None
60171,Toyota,4-Runner,2000,California,0,No,25,Dry,None
60172,Ford,Expedition,2004,California,1,"Yes, Too Fast for Conditions",55,Wet,None
60173,Pontiac,G6,2006,California,1,No,55,Wet,None
60173,Ford,"Edge (For model years 2007-2018 only.  For model years 2019 on, see 12-424.)",2015,California,0,No,55,Wet,None
60173,Subaru,Forester,2016,California,0,No,55,Wet,None
60174,Volkswagen,Jetta/Jetta SportsWagen,2000,California,0,No,65,Dry,None
60175,Chevrolet,Malibu/Malibu Maxx,2012,California,0,No,55,Wet,None
60175,Chevrolet,"Impala/Caprice (For SS from 2014 on, use 20-021.)",2005,California,1,No,55,Wet,None
60176,Ford,F-Series pickup,2014,California,3,No,55,Dry,None
60176,Ford,Medium/Heavy ï¿½ CBE,2015,California,0,No,55,Dry,None
60177,Ford,Expedition,2005,California,1,No,65,Wet,None
60178,Honda,CR-V,2008,California,0,No,70,Wet,None
