CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
61658,California,ALAMEDA,NOT APPLICABLE,37.57928056,-121.8763611,2019,7,July,19,Friday,17,Interstate,Interstate,1,4,0,2,Double,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.25
61659,California,MADERA,NOT APPLICABLE,37.01823056,-120.1311806,2019,8,August,26,Monday,10,Principal Arterial - Other Freeways and Expressways,State Highway,1,2,0,2,Double,0,Angle ,Daylight,0.5
61660,California,MONTEREY,NOT APPLICABLE,36.36034167,-121.3205528,2019,7,July,4,Thursday,14,Major Collector,Unknown,1,3,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.333333333
61661,California,SAN BERNARDINO,SAN BERNARDINO,34.14618889,-117.2954083,2019,6,June,11,Tuesday,7,Principal Arterial - Other Freeways and Expressways,State Highway,1,3,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.333333333
61662,California,STANISLAUS,TURLOCK,37.47736667,-120.8358361,2019,9,September,7,Saturday,17,Local,Unknown,1,2,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.5
61664,California,NAPA,YOUNTVILLE,38.3934,-122.3545028,2019,9,September,22,Sunday,22,Major Collector,Unknown,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61665,California,LOS ANGELES,LOS ANGELES,33.99852222,-118.4620306,2019,8,August,22,Thursday,17,Principal Arterial - Other,Unknown,1,2,0,2,Double,0,Sideswipe - Same Direction,Daylight,0.5
61666,California,SAN FRANCISCO,SAN FRANCISCO,37.78393333,-122.4081722,2019,8,August,11,Sunday,20,Principal Arterial - Other,Unknown,1,4,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,0.25
61667,California,TRINITY,NOT APPLICABLE,40.89742778,-122.7877722,2019,9,September,6,Friday,19,Minor Arterial,State Highway,1,5,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,0.2
61668,California,RIVERSIDE,NOT APPLICABLE,33.49800278,-117.1751694,2019,6,June,1,Saturday,18,Major Collector,Unknown,1,7,0,2,Double,1,Front-to-Front,Daylight,0.142857143
